Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.07     0.00        7     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, Teuchos::RCP<Teuchos::Time> > > std::_Rb_tree<std::string, std::pair<std::string const, Teuchos::RCP<Teuchos::Time> >, std::_Select1st<std::pair<std::string const, Teuchos::RCP<Teuchos::Time> > >, std::less<std::string>, std::allocator<std::pair<std::string const, Teuchos::RCP<Teuchos::Time> > > >::_M_insert_unique_<std::pair<std::string, Teuchos::RCP<Teuchos::Time> > >(std::_Rb_tree_const_iterator<std::pair<std::string const, Teuchos::RCP<Teuchos::Time> > >, std::pair<std::string, Teuchos::RCP<Teuchos::Time> >&&)
  0.00      0.07     0.00        6     0.00     0.00  Teuchos::RCPNodeTmpl<Teuchos::MpiCommStatus<int>, Teuchos::DeallocDelete<Teuchos::MpiCommStatus<int> > >::~RCPNodeTmpl()
  0.00      0.07     0.00        6     0.00     0.00  Teuchos::RCPNodeTmpl<std::ostream, Teuchos::DeallocDelete<std::ostream> >::delete_obj()
  0.00      0.07     0.00        6     0.00     0.00  Teuchos::RCPNodeTmpl<std::ostream, Teuchos::DeallocDelete<std::ostream> >::~RCPNodeTmpl()
  0.00      0.07     0.00        6     0.00     0.00  Teuchos::RCPNodeTmpl<unsigned long, Teuchos::DeallocArrayDelete<unsigned long> >::delete_obj()
  0.00      0.07     0.00        6     0.00     0.00  Teuchos::RCPNodeTmpl<unsigned long, Teuchos::DeallocArrayDelete<unsigned long> >::~RCPNodeTmpl()
  0.00      0.07     0.00        6     0.00     0.00  Belos::LinearProblem<double, Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false>, Tpetra::Operator<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > >::applyRightPrec(Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> const&, Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false>&) const
  0.00      0.07     0.00        6     0.00     0.00  Xpetra::CrsMatrixWrap<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> >::getGlobalNumEntries() const
  0.00      0.07     0.00        6     0.00     0.00  Xpetra::TpetraCrsMatrix<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> >::getGlobalNumEntries() const
  0.00      0.07     0.00        6     0.00     0.00  Teuchos::any::holder<bool>::print(std::ostream&) const
  0.00      0.07     0.00        6     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, Teuchos::RCP<Teuchos::Time> >, std::_Select1st<std::pair<std::string const, Teuchos::RCP<Teuchos::Time> > >, std::less<std::string>, std::allocator<std::pair<std::string const, Teuchos::RCP<Teuchos::Time> > > >::_M_get_insert_unique_pos(std::string const&)
  0.00      0.07     0.00        5     0.00     0.00  Belos::MultiVecTraits<double, Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> >::MvNorm(Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> const&, std::vector<double, std::allocator<double> >&, Belos::NormType)
  0.00      0.07     0.00        5     0.00     0.00  Teuchos::RCPNodeTmpl<Teuchos::basic_FancyOStream<char, std::char_traits<char> >, Teuchos::DeallocDelete<Teuchos::basic_FancyOStream<char, std::char_traits<char> > > >::delete_obj()
  0.00      0.07     0.00        5     0.00     0.00  Teuchos::RCPNodeTmpl<Teuchos::basic_FancyOStream<char, std::char_traits<char> >, Teuchos::DeallocDelete<Teuchos::basic_FancyOStream<char, std::char_traits<char> > > >::~RCPNodeTmpl()
  0.00      0.07     0.00        5     0.00     0.00  Teuchos::ParameterList& Teuchos::ParameterList::set<double>(std::string const&, double const&, std::string const&, Teuchos::RCP<Teuchos::ParameterEntryValidator const> const&)
  0.00      0.07     0.00        5     0.00     0.00  Teuchos::basic_FancyOStream<char, std::char_traits<char> >::~basic_FancyOStream()
  0.00      0.07     0.00        5     0.00     0.00  Teuchos::basic_FancyOStream_buf<char, std::char_traits<char> >::initialize(Teuchos::RCP<std::ostream> const&, std::string const&, int, bool, int, bool, bool)
  0.00      0.07     0.00        5     0.00     0.00  std::vector<double, std::allocator<double> >::vector(unsigned long, std::allocator<double> const&)
  0.00      0.07     0.00        5     0.00     0.00  std::vector<int, std::allocator<int> >::operator=(std::vector<int, std::allocator<int> > const&)
  0.00      0.07     0.00        5     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, Teuchos::RCP<MueLu::FactoryBase const> >, std::_Select1st<std::pair<std::string const, Teuchos::RCP<MueLu::FactoryBase const> > >, std::less<std::string>, std::allocator<std::pair<std::string const, Teuchos::RCP<MueLu::FactoryBase const> > > >::_M_erase(std::_Rb_tree_node<std::pair<std::string const, Teuchos::RCP<MueLu::FactoryBase const> > >*)
  0.00      0.07     0.00        4     0.00     0.00  Belos::LinearProblem<double, Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false>, Tpetra::Operator<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > >::LinearProblem(Belos::LinearProblem<double, Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false>, Tpetra::Operator<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > > const&)
  0.00      0.07     0.00        4     0.00     0.00  Belos::StatusTestCombo<double, Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false>, Tpetra::Operator<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > >::checkStatus(Belos::Iteration<double, Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false>, Tpetra::Operator<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > >*)
  0.00      0.07     0.00        4     0.00     0.00  Belos::StatusTestMaxIters<double, Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false>, Tpetra::Operator<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > >::checkStatus(Belos::Iteration<double, Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false>, Tpetra::Operator<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > >*)
  0.00      0.07     0.00        4     0.00     0.00  Belos::StatusTestGenResNorm<double, Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false>, Tpetra::Operator<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > >::checkStatus(Belos::Iteration<double, Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false>, Tpetra::Operator<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > >*)
  0.00      0.07     0.00        4     0.00     0.00  Belos::StatusTestResNormOutput<double, Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false>, Tpetra::Operator<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > >::checkStatus(Belos::Iteration<double, Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false>, Tpetra::Operator<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > >*)
  0.00      0.07     0.00        4     0.00     0.00  Teuchos::RCPNodeTmpl<Teuchos::MpiCommStatus<int>, Teuchos::DeallocDelete<Teuchos::MpiCommStatus<int> > >::delete_obj()
  0.00      0.07     0.00        4     0.00     0.00  Teuchos::RCPNodeTmpl<std::ostream, Teuchos::DeallocNull<std::ostream> >::delete_obj()
  0.00      0.07     0.00        4     0.00     0.00  Teuchos::RCPNodeTmpl<std::ostream, Teuchos::DeallocNull<std::ostream> >::~RCPNodeTmpl()
  0.00      0.07     0.00        4     0.00     0.00  Teuchos::MpiCommStatus<int>::getSourceRank()
  0.00      0.07     0.00        4     0.00     0.00  Teuchos::basic_FancyOStream_buf<char, std::char_traits<char> >::basic_FancyOStream_buf(Teuchos::RCP<std::ostream> const&, std::string const&, int, bool, int, bool, bool)
  0.00      0.07     0.00        4     0.00     0.00  Teuchos::any::holder<Teuchos::RCP<std::ostream> >::~holder()
  0.00      0.07     0.00        4     0.00     0.00  Belos::BiCGStabIter<double, Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false>, Tpetra::Operator<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > >::getNumIters() const
  0.00      0.07     0.00        4     0.00     0.00  Belos::BiCGStabIter<double, Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false>, Tpetra::Operator<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > >::getNativeResiduals(std::vector<double, std::allocator<double> >*) const
  0.00      0.07     0.00        4     0.00     0.00  Xpetra::TpetraMap<int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> >::getIndexBase() const
